Town ,Latitude,Longitude
Kwale,-4.166667,39.45
 KYANGOMBE,-1.5,37.3333333
 KYUMBI,-1.5333333,37.1166667
 KYUSO,-0.5488252,38.219794
Voi,-3.3973104,38.5559336
Langa Langa,-0.3077311,36.0716729
Langa Langa,-0.3077311,36.0716729
Langata,-1.366667,36.733333
Langata,-1.366667,36.733333
langata,-1.366667,36.733333
Lavington,-1.2745231,36.7792574
Laza,-1.4993,40.019001
Lela,-0.0290108,34.6057615
 LESSOS,1.0443348,34.9892412
 LIKONI,-4.0929017,39.6614446
 LITEIN,-0.582624,35.1901151
 LITEIN,-0.582624,35.1901151
 LODWAR,3.116667,35.6
 LOIYANGALANI,2.7603913,36.7199836
 LOIYANGALANI,2.7603913,36.7199836
 LOIYANGALANI,2.7603913,36.7199836
 LOKORI,1.9521315,36.0322459
 LOLGORIAN,-1.2848861,34.9270588
 LONDIANI ,-0.166667,35.6
Loosuk,1.0530031,36.6557768
Loresho,-1.2537334,36.7442377
Luanda,0.0240007,34.5874448
Luanda,0.0240007,34.5874448
Nairobi,-1.2920659,36.8219462
 LUKORE,-4.3536859,39.3148649
 LUNGA LUNGA,-4.55,39.12
 LUNGA LUNGA,-4.55,39.12
 LURAMBI,0.3107576,34.751808
Nairobi,-1.2920659,36.8219462
Lwak,-0.1408126,34.356017
 LWAKHAKHA,0.8569758,34.4357336
 MAAI MAHIU,-0.7190438,36.4342515
 MACALDER,-0.9546935,34.2856961
 MADIRA,0.0621414,34.6743965
 MADOGO,-0.4725528,39.6027669
Nairobi,-1.2920659,36.8219462
 MAGADI,-1.8996701,36.301039
 MAGADINI,-1.8996701,36.301039
 MAGONGA,-1.4052778,38.3527778
 MAGONGO,-1.4052778,38.3527778
 MAGUMONI,-0.3687958,37.6216131
 MAGUNGA,-0.6893437,34.1518039
 MAGUTUNI,-0.21755,37.733631
 MAGWAGWA,-0.470887,35.0217782
 MAIKONA,2.936094,37.6306782
 MAIKONA,2.936094,37.6306782
 MAIROINYA,0.0264359,36.4054298
 MAJENGO,0.0412279,34.7174403
Luanda,0.0240007,34.5874448
 MAJI MAZURI,-1.2279466,36.92925
 MAKONGENI,-1.2976047,36.8505924
 MAKONGENI,-1.2976047,36.8505924
 MAKUTANO,1.2544328,35.0911142
Nairobi,-1.2920659,36.8219462
Kapenguria,1.260912,35.07835
Kapenguria,1.260912,35.07835
Meru,0.0514721,37.6456042
Malaba,0.636206,34.2782765
Malaba,0.636206,34.2782765
Malaha,0.6329858,34.7414611
 MALAKASI,0.68,34.42
 MALAKISII,0.68,34.42
 MALAVA,0.636206,34.2782765
Malava,0.636206,34.2782765
Malindi,-3.2191864,40.1168906
Malindi,-3.2191864,40.1168906
Malinya,0.1970034,34.7312581
Mamba,-4.0428326,39.7023758
Mandera,3.9356389,41.8551162
 MANYATTA,-0.0862849,34.7823648
 MARABA,-0.0122559,35.2841027
 MARALAL,1.0931431,36.7018311
 MARALAL,1.0931431,36.7018311
 MARALAL,1.0931431,36.7018311
 MARANI,-0.5756493,34.8016945
 MARANI,-0.5756493,34.8016945
 MARERENI,-2.8573202,40.1510864
 MARIAKANI,-3.8634574,39.4737607
 MARIAKANI,-3.8634574,39.4737607
 MARIAKANI,-3.8634574,39.4737607
 MARIAKANI,-3.8634574,39.4737607
 MARIMANTI,-0.1570413,37.9778247
 MARIMANTI,-0.1570413,37.9778247
 MARINGO,-1.2915515,36.8640441
Nairobi,-1.2920659,36.8219462
 MASENO,-0.0067175,34.5985158
 MASHRU,-4.0332607,39.6237642
 MASII,-1.4604752,37.4387894
 MASIMBA,-0.8609818,34.9382584
Matanya,-0.0167133,37.021133
Matanya,-0.0167133,37.021133
Matanya,-0.0167133,37.021133
 MATHARE,-1.2617158,36.8492471
 MATILIKU,-1.9650409,37.5319898
 MATILIKU,-1.9650409,37.5319898
 MATIRI,-0.5,34.9166667
 MATSANGONI,-3.3889344,39.9273118
 MATSANGONI,-3.3889344,39.9273118
Matunda,0.8272566,35.1206893
Mau Narok,-0.6,36
 MAUA,0.2325548,37.9413748
 MAUA,0.2325548,37.9413748
 MAZERAS,-3.966667,39.55
Mbita,-0.4367915,34.2060283
