"","WARD","FAC_NUM","ELEC_NUM","SCHOOLS","TRADE","HEALTH","E_SCHOOLS","E_TRADE","E_HEALTH","Male","Female","total_pop","fac_1000","elec_fac_1000","schools_1000","trade_1000","health_1000","e_schools_1000","e_trade_1000","e_health_1000","crop_diversity","crop_intensity","gov_irrigation","prop_irrigation","small_irrigation","distance_major_roads","distance_second_roads","distance_major_town","water_points","num_equity","distance_rivers","num_offgrid","ward_area","dist_trans","pop_density"
"1090","KILELESHWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.966910826166,0.966910826166,3357.67944808,0,1,12.6836525695,0,9,1,0
"1091","KILIWEHIRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.003556297,101.003556297,131151.92209026,0,0,16.5921166635,0,304,197,0
"1092","KIMAETI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26833333,44.28571429,0,0,0,2.72901158312,2.72901158312,18722.93992454,0,0,27.8876602401,0,67,5,0
"1093","KIMANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33333333,0,0,2,64.5358259584,64.5358259584,70149.13711659,0,0,36.1555222909,0,334,61,0
"1094","KIMININI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,72.85714286,0,0,0,0.170685859203,0.170685859203,17073.07238708,0,3,9.16725195607,2,82,35,0
"1095","KIMULOT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.434,67.5,0,0,0,14.3980159618,14.3980159618,14735.30587772,0,1,19.9560555767,0,89,11,0
"1096","KIMUMU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.575,65,0,0,2,4.78776466348,4.78776466348,5201.38089705,0,1,15.2395802514,0,25,3,0
"1097","KINNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.33333333,0,0,0,15.5479050372,15.5479050372,76815.25186334,3,0,43.7362548667,0,2437,86,0
"1098","KIOGORO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,50,0,0,0,3.92702427603,3.92702427603,5902.88202673,0,1,2.45414718286,0,18,6,0
"1099","KIOMO/KYETHANI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,41.53846154,0,0,5,11.2298297687,11.2298297687,13016.55751389,0,1,11.8476069363,0,371,13,0
"1100","KIPCHEBOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.715,90,0,0,0,0.153625572153,0.153625572153,764.30084541,0,1,14.7915788471,6,35,2,0
"1101","KIPEVU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238733782462,0.238733782462,5644.44395192,0,0,97.8165997149,0,1,0,0
"1102","KIPIPIRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.575,48.88888889,0,0,0,19.0638216018,19.0638216018,35906.12249082,0,0,19.5655486126,0,137,5,0
"1103","KIPKELION",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.261,60,0,0,0,10.6006402203,10.6006402203,14249.99068292,0,0,3.86035885191,0,101,30,0
"1104","KIPKENYO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16666667,62.5,0,0,0,1.25316786173,1.25316786173,4307.85184954,0,0,10.3439823138,1,23,1,0
"1105","KIPLOMBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15181818,59.6875,0,0,0,4.45417731041,4.45417731041,14832.75935409,0,0,21.7001023093,0,112,12,0
"1106","KIPRERES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.695,100,0,0,4,5.73567950193,5.73567950193,15081.72216024,0,0,4.28457179214,2,72,43,0
"1107","KIPSOMBA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78909091,71.9047619,0,0,1,5.24376292121,5.24376292121,31762.70339406,0,0,13.1592520523,1,109,27,0
"1108","KIPSONOI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,93.33333333,0,0,0,13.9919869907,13.9919869907,19515.95132086,0,2,14.3598068156,0,130,20,0
"1109","KIPTAGICH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,64.28571429,0,0,0,38.6337963185,38.6337963185,36984.61861239,0,1,9.200417713,2,82,39,0
"1110","KIPTORORO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81916667,61.25,0,0,0,9.45137504438,9.45137504438,21480.49489152,0,3,5.92759928048,0,228,25,0
"1111","KIRIMARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,81.25,0,0,3,1.52020156949,1.52020156949,3857.28539787,0,1,2.04375499245,0,24,3,0
"1112","KIRIMUKUYU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2225,62.5,0,0,0,0.543455146246,0.543455146246,7215.96492691,0,0,2.76302133863,0,56,5,0
"1113","KISA CENTRAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41666667,56.66666667,0,0,0,7.32115993515,7.32115993515,26332.68132323,0,0,2.2057437064,0,55,19,0
"1114","KISAU-KITETA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75272727,42.27272727,0,0,0,37.274196326,37.274196326,24179.37344983,0,1,22.3721433326,0,180,30,0
"1115","KISIARA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3825,82.5,0,0,0,13.5957613452,13.5957613452,10465.219715,0,0,21.849951646,0,43,12,0
"1116","KISII CENTRAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,66.66666667,0,0,0,1.83026831939,1.83026831939,1845.40052821,0,0,6.82323730535,2,18,1,0
"1117","KITENGELA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,12.2983204131,12.2983204131,16918.64349013,0,0,5.6001328404,0,134,3,0
"1118","KITUTU   CENTRAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,55,0,0,0,1.30990173528,1.30990173528,3529.94941539,0,1,8.3993735415,0,11,3,0
"1119","KIVOU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.16666667,0,0,0,0.318996258892,0.318996258892,7939.39547273,0,0,24.0171791704,0,237,25,0
"1120","KIVUMBINI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99979577255,1.99979577255,2153.20120839,0,0,33.1412234491,0,3,1,0
"1121","KOMOTHAI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.324,75,0,0,3,18.8493979648,18.8493979648,27217.40145387,0,0,31.971216233,0,42,11,0
"1122","KONG'ASIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22666667,91.66666667,0,0,2,24.0104510706,24.0104510706,14468.7936855,0,0,5.05324080297,0,96,29,0
"1123","KONGOWEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667101725887,0.667101725887,3684.17930659,0,2,97.0234649338,0,3,2,0
"1124","KONYU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.744,70,0,0,0,3.38876168271,3.38876168271,3577.41919375,0,4,2.66429620066,0,32,4,0
"1125","KORR/NGURUNIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.7521860678,45.7521860678,64603.97423711,0,0,143.414729052,0,3828,37,0
"1126","KUINET/KAPSUSWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54625,59.44444444,0,0,3,7.84011734955,7.84011734955,11081.90868197,0,0,21.4586052813,0,74,9,0
"1127","KUKU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.4375,0,0,3,45.0790588006,45.0790588006,62745.45991025,1,0,28.9845286484,0,1249,44,0
"1128","KUNYAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76555556,63,0,0,0,18.3580334684,18.3580334684,28101.16331316,0,0,10.2015574426,0,67,18,0
"1129","KUTULO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92855522212,2.92855522212,120446.40079482,6,0,20.3243746052,0,2781,286,0
"1130","KWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.645,43.33333333,0,0,5,14.1674071086,14.1674071086,33016.20922596,0,0,1.99262451125,0,40,39,0
"1131","KWANZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7125,90.83333333,0,0,6,5.84531502018,5.84531502018,12451.64378123,0,0,6.26583361652,0,162,64,0
"1132","KWAVONZA/YATTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12875,46.42857143,0,0,7,18.6760529427,18.6760529427,27224.12591588,0,0,15.416431047,0,780,32,0
"1133","KYANGWITHYA WEST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10666667,59.28571429,0,0,4,10.1874222683,10.1874222683,11083.24779912,0,0,23.7038088712,0,185,21,0
"1134","KYENI NORTH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66833333,64.28571429,0,0,1,9.27762671332,9.27762671332,14263.55223229,0,0,9.36425004341,0,58,23,0
"1135","KYOME/THAANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.21428571,0,0,6,3.39474840867,3.39474840867,14667.38471467,0,0,19.2171844289,0,333,3,0
"1136","LAFEY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,36.0510795241,36.0510795241,109123.97872229,0,0,83.5908444794,0,676,313,0
"1137","LAGSURE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.4394175378,80.4394175378,128442.90537698,0,0,6.27202963734,0,591,200,0
"1138","LAISAMIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91910880468,9.91910880468,80726.18831248,0,0,88.9624886341,1,4043,27,0
"1139","LAKE VIEW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86,0,0,0,2.44238597755,2.44238597755,1732.58327102,0,3,33.1491730911,3,25,1,0
"1140","LANDIMAWE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62188143785,1.62188143785,3825.79264815,0,1,8.93676478648,0,6,0,0
"1141","LANET/UMOJA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,43.75,0,0,0,4.31723600017,4.31723600017,11031.33253175,0,0,41.887722578,0,54,1,0
"1142","LANGAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,60.83333333,0,0,1,5.02726161582,5.02726161582,9074.1327029,1,0,9.30221851242,0,45,1,0
"1143","LARE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40333333,60.71428571,0,0,0,14.5917850188,14.5917850188,11444.51060003,0,0,19.1372355297,0,73,14,0
"1144","LIBEHIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0,0,9.48332138974,9.48332138974,52848.50114752,0,0,125.598328886,0,1062,329,0
"1145","LIKONI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0.615040186814,0.615040186814,4070.57714832,0,1,103.751808031,0,1,2,0
"1146","LIKUYANI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02125,71.5625,0,0,1,6.21552748921,6.21552748921,28276.5073588,0,1,9.23452227559,0,109,15,0
"1147","LITEIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05666667,80,0,0,1,14.6483452815,14.6483452815,15913.91118187,0,2,17.1201451359,1,47,3,0
"1148","LOBOKAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,1,6.30072079634,6.30072079634,90848.47655181,1,1,21.878627418,0,988,23,0
"1149","LOGOLOGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4661655292,21.4661655292,41293.35857175,0,0,91.1623229347,0,3869,35,0
"1150","LOIYAMOROCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,55.1002022316,55.1002022316,71853.15539406,0,0,48.5839339314,0,399,41,0
"1151","LOIYANGALANI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.351704677,114.351704677,121147.51081374,0,3,47.4283570847,2,7317,150,0
"1152","LOKIRIAMA/LORENGIPPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7482953894,85.7482953894,94385.67629721,1,0,57.5513726311,1,1143,107,0
"1153","LOMUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.29411765,0,0,0,0.796286595929,0.796286595929,54909.81240025,0,0,10.8028224532,0,373,1,0
"1154","LONDIANI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79333333,60,0,0,2,9.38338499933,9.38338499933,6916.97577014,0,0,8.38515740067,0,93,25,0
"1155","LONDON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33333333,0,0,0,1.66511749229,1.66511749229,2058.30256949,0,1,34.3751566625,0,18,1,0
"1156","LONGISA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,97.5,0,0,2,10.638953701,10.638953701,9579.18043945,0,0,5.40266825467,1,76,38,0
"1157","LOWER KAEWA/KAANI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82333333,43.57142857,0,0,2,24.1764931407,24.1764931407,10730.38705041,0,1,28.6086804982,0,49,10,0
"1158","LOWER SAVANNAH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47249926759,5.47249926759,10630.77752006,0,0,13.0322857498,0,1,2,0
"1159","LUANDA SOUTH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,66,0,0,0,3.33222251838,3.33222251838,26187.09087073,0,0,9.43091278894,0,19,4,0
"1160","LUANDA TOWNSHIP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,50,0,0,0,1.45216268512,1.45216268512,26161.85916152,0,0,8.31238791642,0,7,6,0
"1161","LUCKY SUMMER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.59025276199,3.59025276199,11080.29215737,0,0,17.4699811735,0,1,0,0
"1162","LUGAGA-WAMULUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,50,0,0,0,2.03954136368,2.03954136368,22652.95768788,0,1,10.4832944353,0,24,6,0
"1163","LUGARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.165,65,0,0,1,8.72561099721,8.72561099721,39917.1838323,1,0,1.42115687207,0,87,11,0
"1164","LWANDETI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,60,0,0,2,0.657666966365,0.657666966365,31437.22700636,1,0,1.92203160492,0,44,3,0
"1165","LYADUYWA/IZAVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,50,0,0,0,0.165892729387,0.165892729387,19856.19336598,0,0,7.11317049843,1,20,3,0
"1166","MAALIMIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4753101738,22.4753101738,118710.17560352,0,0,42.8872470743,0,1675,167,0
"1167","MACALDER/KANYARWANDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3425,41,1,0,7,24.343115753,24.343115753,53747.38820518,0,1,0.484068488723,0,134,49,0
"1168","MACHEWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88222222,66.5,0,0,0,6.60516486536,6.60516486536,26933.65568711,0,0,19.831388059,0,35,33,0
"1169","MACKINNON ROAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.04166667,0,0,0,5.81052234137,5.81052234137,54419.34706899,5,0,80.7565130257,0,1188,8,0
"1170","MAGADI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.33333333,0,0,1,63.1548543993,63.1548543993,65327.41715882,5,3,9.64241608759,1,2378,62,0
"1171","MAGENCHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,50,0,0,0,17.1294655692,17.1294655692,21413.65310705,0,0,10.0528800876,0,29,21,0
"1172","MAGOGONI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1.92242965312,1.92242965312,5825.78110208,0,0,94.0829982822,0,2,1,0
"1173","MAGOMBO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,82,0,0,3,9.67721251361,9.67721251361,14247.88221392,0,0,3.86292282641,0,33,15,0
"1174","MAGUMU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03333333,55,0,0,0,3.10444423282,3.10444423282,20847.50727446,0,0,24.9555758873,0,55,1,0
"1175","MAGWAGWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,67.5,0,0,1,5.4470936338,5.4470936338,6912.85415846,0,2,20.5125242766,0,30,22,0
"1176","MAHIAKALO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,67.5,0,0,0,0.609125610265,0.609125610265,3279.42241533,0,0,12.6704034281,0,14,4,0
"1177","MAHIGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,64.58333333,0,0,1,19.1531411055,19.1531411055,20092.32804588,0,3,1.54418864386,0,128,20,0
"1178","MAI MAHIU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64285714,42.72727273,0,0,1,2.61060840241,2.61060840241,35442.99753487,1,0,37.0436736098,0,322,4,0
"1179","MAIELLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,63.33333333,0,0,0,23.2998022092,23.2998022092,26338.35848969,4,0,31.1581137236,0,299,18,0
"1180","MAIKONA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.6401456629,60.6401456629,105880.96948954,0,4,82.2480340316,4,1258,55,0
"1181","MAJENGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305482772244,0.305482772244,788.73988067,0,2,99.002590473,0,2,0,0
"1182","MAJIMOTO/NAROOSURA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.52380952,0,0,2,35.1374404722,35.1374404722,35770.28740266,2,0,17.3157402279,0,2355,8,0
"1183","MAJOGE BASI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,50,0,0,0,5.48037331958,5.48037331958,10863.6577083,0,0,5.95814939629,0,27,2,0
"1184","MAKERERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,67.5,0,0,0,2.79703180294,2.79703180294,47834.70453236,0,0,13.063897258,0,30,55,0
"1185","MAKUTANO/MWALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3975,47.22222222,0,0,0,29.7355215114,29.7355215114,30175.01986423,0,3,8.75019346048,0,176,30,0
"1186","MALAKISI/SOUTH KULISIRU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.044,49.58333333,0,0,1,17.7567010869,17.7567010869,20403.91705273,0,2,33.6911276962,0,80,9,0
"1187","MALEWA WEST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59666667,64.76190476,0,0,0,2.98690807715,2.98690807715,11883.61410163,0,0,38.5819549168,0,271,4,0
"1188","MALKAMARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.66666667,0,0,0,60.9039884134,60.9039884134,128186.34627869,0,0,74.679392818,0,1069,260,0
"1189","MANDA-SHIVANGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.905,50,0,0,1,4.64479315138,4.64479315138,31350.91307665,0,0,7.48841313374,0,66,5,0
"1190","MANGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40333333,76.66666667,0,0,2,9.80228517725,9.80228517725,10968.95790022,0,0,7.97860931643,0,39,12,0
"1191","MARAMA NORTH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,60,0,0,0,14.0023192427,14.0023192427,21663.56239838,0,0,7.25859541176,0,33,19,0
"1192","MARANI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285,47.5,0,0,0,7.21729473249,7.21729473249,12737.2278293,0,2,15.4206240796,0,35,13,0
"1193","MARIANI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93444444,50.5,0,0,2,9.96628160794,9.96628160794,10237.63444479,0,0,22.8273224797,0,99,26,0
"1194","MARIASHONI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59583333,61.66666667,0,0,0,21.2860572264,21.2860572264,11922.38247634,0,0,9.44519789137,0,187,17,0
"1195","MARIMANTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7575,43.88888889,0,0,0,30.1291383348,30.1291383348,36947.47359419,0,2,11.5170922607,0,265,14,0
"1196","MARMANET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.57142857,0,0,0,25.6045710468,25.6045710468,19972.63311846,0,0,11.7980429823,0,452,26,0
"1197","MARSABIT CENTRAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,14.7155153695,14.7155153695,17631.35158163,0,2,103.876969308,0,639,5,0
"1198","MARUNGU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.66666667,0,0,0,10.3645961551,10.3645961551,50619.10769231,6,0,74.1862963139,0,706,16,0
"1199","MASABA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.645,65,0,0,1,10.1541669667,10.1541669667,39814.89829895,0,0,2.33868583694,0,91,44,0
"1200","MASIGE EAST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41333333,53.33333333,0,0,0,11.5252523953,11.5252523953,15508.73271007,0,0,3.39190312969,0,21,15,0
"1201","MASIGE WEST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41333333,53.33333333,0,0,0,13.8265827861,13.8265827861,16501.07381019,0,0,4.16385808986,0,29,15,0
"1202","MASIMBA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.585,55,0,0,0,8.70261782472,8.70261782472,18742.22689646,0,2,16.5056801978,0,44,28,0
"1203","MATAPATO NORTH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.66666667,0,0,0,3.4130919357,3.4130919357,38199.68902954,4,5,8.14078488803,1,1649,9,0
"1204","MATAPATO SOUTH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.83333333,0,0,2,8.57636102375,8.57636102375,15227.58307217,3,0,28.2041818998,0,1439,4,0
"1205","MATAYOS SOUTH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.934,55,0,0,2,10.0877078988,10.0877078988,47304.45417343,0,0,19.2289442841,0,69,36,0
"1206","MATINYANI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11666667,60,0,0,0,2.15778394244,2.15778394244,9020.8004817,0,0,11.6586778558,0,67,9,0
"1207","MATISI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,80.83333333,0,0,0,2.462005136,2.462005136,5187.01222373,0,0,8.55493579696,15,39,48,0
"1208","MATOPENI/SPRING VALLEY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97059747534,5.97059747534,13599.12577949,0,0,15.6263374032,0,2,1,0
"1209","MATSANGONI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.22222222,0,0,0,3.07702215304,3.07702215304,24230.38622235,0,2,24.729106218,0,279,1,0
"1210","MATUMBEI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22875,68.52941176,0,0,0,29.9743858538,29.9743858538,34216.4986285,0,0,1.23952917922,0,181,56,0
"1211","MAU NAROK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11363636,53.94736842,0,0,0,35.0449936061,35.0449936061,31896.06305896,0,1,2.88222669122,2,204,26,0
"1212","MAUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875,53.33333333,0,0,1,27.7632827483,27.7632827483,38939.92095906,0,3,47.973234632,0,18,58,0
"1213","MAUCHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09375,48.46153846,0,0,0,24.8650239438,24.8650239438,18641.46610067,0,0,12.664969988,0,166,22,0
"1214","MBARUK/EBURU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71777778,48.84615385,0,0,0,10.399735668,10.399735668,29787.28035836,0,0,27.5317771885,0,657,1,0
"1215","MBEU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,69.28571429,0,0,1,15.6787291165,15.6787291165,14971.58446631,0,0,43.1672123374,0,44,45,0
"1216","MBIRIKANI/ESELENKEI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,36.3382478736,36.3382478736,77622.10057736,4,0,10.3168350755,0,1781,32,0
"1217","MBIUNI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40714286,50,0,0,1,16.2712843208,16.2712843208,35315.37595263,1,0,3.73588766624,0,149,23,0
"1218","MEGUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19642857,84,0,0,2,7.10305564269,7.10305564269,18418.37997606,0,0,7.57990710263,0,78,3,0
"1219","MEKENENE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.849,86.875,0,0,0,8.64213583058,8.64213583058,10164.99184047,0,0,4.82753099604,0,79,17,0
"1220","MENENGAI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,52,0,0,0,1.20327801473,1.20327801473,4967.21277912,0,0,37.7520362393,0,16,2,0
